X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.074432,40.020782,4439,2615805W,Bus,26,Westbound,15805,Bridge St & Hawthorne St - FS,40.020782,-75.074432,Fall 2023,2,0,0,0,0,0
-75.205902,40.028888,4440,3216527S,Bus,32,Southbound,16527,Henry Av & Walnut Ln,40.028888,-75.205902,Fall 2023,65,7,16,3,16,0
-75.071548,40.015968,4441,2615809W,Bus,26,Westbound,15809,Bridge St & Jackson St,40.015968,-75.071548,Fall 2023,4,0,0,0,0,0
-75.176879,40.005897,4442,3216538S,Bus,32,Southbound,16538,Hunting Park Av & 29th St,40.005897,-75.176879,Fall 2023,10,10,1,4,1,3
-75.070564,40.013332,4443,26487W,Bus,26,Westbound,487,Bridge St & Torresdale Av,40.013332,-75.070564,Fall 2023,10,6,0,0,0,0
-75.178306,40.005138,4444,3216537S,Bus,32,Southbound,16537,Hunting Park Av & Henry Av - FS,40.005138,-75.178306,Fall 2023,34,40,9,7,7,6
-75.065803,40.040298,4445,2615855W,Bus,26,Westbound,15855,Bustleton Av & Harbison Av - FS,40.040298,-75.065803,Fall 2023,43,5,13,1,6,2
-75.181686,39.997528,4446,3216543S,Bus,32,Southbound,16543,Lehigh Av & 31st St,39.997528,-75.181686,Fall 2023,14,3,3,6,5,2
-75.068016,40.038127,4447,26505W,Bus,26,Westbound,505,Bustleton Av & Magee Av,40.038127,-75.068016,Fall 2023,52,3,10,1,6,1
-75.219062,40.030055,4448,3218586S,Bus,32,Southbound,18586,Lyceum Av & Manayunk Av,40.030055,-75.219062,Fall 2023,11,0,5,0,4,0
-75.06681,40.039321,4449,2615856W,Bus,26,Westbound,15856,Bustleton Av & Unruh Av,40.039321,-75.06681,Fall 2023,15,3,4,0,7,0
-75.216163,40.031887,4450,329898S,Bus,32,Southbound,9898,Lyceum Av & Mitchell St,40.031887,-75.216163,Fall 2023,8,0,8,1,5,1
-75.171592,40.038951,4451,2615924W,Bus,26,Westbound,15924,Chelten Av & Baynton St,40.038951,-75.171592,Fall 2023,33,57,7,16,8,11
-75.217651,40.030952,4452,329899S,Bus,32,Southbound,9899,Lyceum Av & Pechin St,40.030952,-75.217651,Fall 2023,3,0,3,0,2,0
-75.165023,40.045375,4453,2621228W,Bus,26,Westbound,21228,Chelten Av & Chew Av - FS,40.045375,-75.165023,Fall 2023,133,150,66,52,66,58
-75.214927,40.032665,4454,3221232S,Bus,32,Southbound,21232,Lyceum Av & Ridge Av - FS,40.032665,-75.214927,Fall 2023,22,0,22,0,14,0
-75.17469,40.035945,4455,2631000W,Bus,26,Westbound,31000,Chelten Av & Germantown Av,40.035945,-75.17469,Fall 2023,63,391,28,146,25,125
-75.220321,40.031162,4456,3216193S,Bus,32,Southbound,16193,Manayunk Av & Green Ln,40.031162,-75.220321,Fall 2023,6,0,1,0,2,0
-75.176727,40.034019,4457,2615663W,Bus,26,Westbound,15663,Chelten Av & Greene St - FS,40.034019,-75.176727,Fall 2023,22,186,10,57,6,45
-75.165473,39.952548,4458,3210266S,Bus,32,Southbound,10266,Market St & 15th St,39.952548,-75.165473,Fall 2023,72,205,10,96,6,66
-75.173889,40.036762,4459,2615926W,Bus,26,Westbound,15926,Chelten Av & Kenyon St,40.036762,-75.173889,Fall 2023,11,144,9,29,1,23
-75.167045,39.952735,4460,3218451S,Bus,32,Southbound,18451,Market St & 16th St,39.952735,-75.167045,Fall 2023,18,117,7,47,1,32
-75.177734,40.033004,4461,2615929W,Bus,26,Westbound,15929,Chelten Av & Knox St,40.033004,-75.177734,Fall 2023,5,83,0,42,2,32
-75.170173,39.953121,4462,3210272S,Bus,32,Southbound,10272,Market St & 18th St,39.953121,-75.170173,Fall 2023,23,75,9,43,5,28
-75.173072,40.037521,4463,2615925W,Bus,26,Westbound,15925,Chelten Av & Lena St,40.037521,-75.173072,Fall 2023,9,43,3,15,0,7
-75.177711,39.965381,4464,3216565S,Bus,32,Southbound,16565,Pennsylvania Av & 24th St,39.965381,-75.177711,Fall 2023,11,11,9,2,8,2
-75.16867,40.041805,4465,2615922W,Bus,26,Westbound,15922,Chelten Av & Magnolia St,40.041805,-75.16867,Fall 2023,12,24,7,11,2,8
-75.17913,39.966655,4466,3216564S,Bus,32,Southbound,16564,Pennsylvania Av & 25th St,39.966655,-75.17913,Fall 2023,24,11,25,6,19,7
-75.166069,40.044353,4467,2615920W,Bus,26,Westbound,15920,Chelten Av & McMahon St,40.044353,-75.166069,Fall 2023,38,37,13,13,9,8
-75.175743,39.963687,4468,3216566S,Bus,32,Southbound,16566,Pennsylvania Av & Spring Garden St - MBFS,39.963687,-75.175743,Fall 2023,27,19,9,11,4,9
-75.180931,40.029853,4469,26496W,Bus,26,Westbound,496,Chelten Av & Morris St - MBNS,40.029853,-75.180931,Fall 2023,0,65,0,37,0,38
-75.179252,39.972576,4470,3216559S,Bus,32,Southbound,16559,Poplar St & 26th St,39.972576,-75.179252,Fall 2023,48,11,14,8,8,1
